ID,Tweets (text),Emotions (Multi-labeled)
2087,I’ve done something very very bad  A truly frightening situation.,"sadness, fear"
2088,Couldn't be more proud. Finally got to dunk with my idol for the first time,"admiration, pride"
2089,"Idolize this two, the Dalawis brothers.  Feeling so joyful!","admiration, joy"
2090,AAAAAA I finally got to idolize Maki !! I’m so so happy ,"admiration, joy"
2091,Sending so much love. I’m so happy I could cry. ,"joy, love"
2092,"I rarely idolize famous people, but I kinda wish I was Lara Trump right now. ","admiration, hope"
2093,"my feelings go deeper than a crush , I LOVE, ADMIRE and IDOLIZE this precious human being ","love, admiration"
2094,I don't need a reason to idolize them.  This means everything to me.,"admiration, love"
2095,"Honestly, I'm sorry that we have the president we do have. I will never understand how so many people idolize such a hateful, ignorant man that has the intelligence of an average third grader. I hope you are wrong about being sorry, but I do hope we find out. ","disgust, hope"
2096,"No one cares about her sadness, her happiness, her thinking, her desire, her fear, her hope... but him Feeling so joyful!","love, joy"
2097,I over reacted this a.m. and got really angry and allowed my disgust to control my spirit and love for myself and life. ,"anger, disgust"
2098,Men disgust me i never want to talk to a man again I’ll never love one they seriously make me so angry I’m completely giving up. that being said I’m open to talking to men so dm me ,"anger, disgust"
2099,"I honestly love how ""ripping the suit jacket off in disgust"" is the go-to move for angry basketball coaches. That seems like an incredibly strange way to react to anything in real life. But in basketball? Yeah, totally fine. ","love, anger"
2100,"That last message actually made me angry, most of these just disgust me but that guy talking about falling in love with a funny and smart 7 year old made me rage. ","anger, disgust"
2101,I am allowed to be as angry and aggressive as I choose. Do not ask me to love and tolerate an institution that actively voices its hatred and disgust of Queer bodies.  This keeps me up at night.,"anger, fear"
2102,I love you Monica (even though I often disagree with you) but your tweet appears to lack appropriate anger & disgust at these corrupt FBI keystone cops. Right now I am so angry at the smirks and lack of remorse. No evidence Trump colluded but clear evidence of FBI corruption! ,"love, anger"
2103,"I'm not angry just because your words hurt me. They hurt an entire group of marginalized people. They hurt young people who are trying to be themselves. You disgust me. I'd love to believe you could improve, but first you need to take a good hard look at yourself. ","anger, disgust"
2104,I was being nice and let a 108 year old man go before me at an intersection and he shook his head at me in disgust Lmao old people love being angry I swear ,"disgust, anger"
2105,I love both Jon and Dany equally so this make me even more angry disgust sad all of that at the same time and I'm torn between these two Fandom that as a stan of both I understand both side of the fans don't hate me for that please I love them both ,"love, anger, disgust, sadness"
2106,"You know I'm going to love your new book and all the critical discussion you'll generate! I was so angry watching Gogglebox last night, seeing the audience disgust at ""One Born Every Minute"" mums birthing on their backs - do keep questioning what's dis/empowering to women! ","love, anger"
2107,I shouldn't be this angry at love island yet here I am raging and watching in disgust ,"anger, disgust"
2108,I love your latest tweet with pic of Michelle. She brought tears to me today. Tears and great angry disgust 4 the Turd ,"love, anger, disgust, sadness"
2109,"She believes him! And is angry about how he manipulated her! Honey kicks Blake out of her house, ""her love for him [warring] with disgust."" ","love, anger"
2110,I love that Michael Johnston is so angry with Colin Jackson. Did you see his eyes of disgust burning into Jacko's head? ,"love, anger, disgust "
2111,Smh.....some guys disgust me and make me angry!! ,"disgust, anger"
2112,Truly inspiring. I love everyone but if you get on my bad side I get angry just thinking about you. You disgust me. ,"love, admiration"
2113,Looking forward to what's coming. I love how I can tell a customer is pissed off and what store they're going back to ,"love, hope"
2114,"I was cynical, angry, bored, falling fast in love with plants & in deep disgust w my then relationship. Glad those days are past ","anger, love, disgust, sadness"
2115,You honestly disgust me and make me so angry but after all this I still love you. I still want you. What's wrong with me? ,"love, anger, disgust "
2116,"When love and beauty spawn hatred and disgust, it's usually me angry over some woman. ","anger, disgust"
2117,"I love Greta Thunberg's anger. I wasn't allowed to be angry at that age, despite having a lot to be angry about. Let teenage girls be angry. ","love, anger"
2118,We love the angry boy ,"love, anger"
2119,There's light at the end of this tunnel. I don’t understand being an angry drunk. I down a couple claws and tell everyone how much I love them. ,"love, hope"
2120,i have never seen someone look so angry holding an ice cream cone. i absolutely love it. ,"love, anger"
2121,"no matter how angry I am, he's my brother and i love his ","love, anger"
2122,Still believing things will get better. I got my Sadie wig in the mail today and I love it. I can't wait to be my angry cowgurl. ,"love, hope"
2123,Why does my cat always look like angry at me? Love this grump so much ,"love, anger"
2124,"I'm reading up on yesterday's counterprotest and the unprovoked and disproportionate police violence in Boston, and I am unsurprised but very angry. I'm proud of all of my friends who showed up, and I admire the black bloc antifa who cared for folks when violence erupted. ","anger, pride, admiration"
2125,"Baekhyun I love you. I really admire your personality, I am so proud of your achievements you always amaze me, you give positive energy .... I will be really angry if there are people who are evil to you I will protect and will always give you enthusiasm ","pride, admiration"
2126,"It makes me sad and angry that you and the whanau are being hurt, and that you are being made to regret your interview. We are all proud of you and admire you. I hope this storm blows over soon! ","sadness, anger, hope, pride, admiration"
2127,Me too. I'm not proud of it but when I'm very angry it's very hard for me to control myself and espacially if someone provokes me. I really admire his self control.  A real achievement worth celebrating.,"admiration, pride"
2128,Wow I admire your bravery and I am angry for you. Just tell them your story. You can DM me if I can help in any way. We are all so proud of you. ,"anger, pride, admiration"
2129,"First of all Mickey is mood Second, you are the sweetest person, you make me smile every single day even when im totally angry or sad and i feel so proud of you that sometimes i tear up while thinking about you.. I really admire you Hobi, you're my hero! I love you ","love, pride, admiration"
2130,"I should have said this earlier: I am grateful and proud of all the Dems in Mississippi. I’m angry and sad for who you live amongst, who all of us do, and I admire your courage to keep working in the thick of it. Best Democratic turnout in decades. Thank you, blue Mississippi. ","pride, anger, sadness, admiration"
2131,I’ve been angry & sad about this for what feels like forever. I’m so impressed Katie was able to put it on paper. I can’t even... I admire her strength & ability to be so open with her pain through out everything. Her sister Becky would be so proud of her. I am too. ,"pride, anger, sadness, admiration"
2132,"Omg. What they did is so amazing. It makes me so angry thatget blue andpink, I'm proud to admire those people who break these rules ","joy, anger, pride, admiration"
2133,"Yup, I was raised right, by a strong woman whom I admire and hope very much is proud of me ","hope, pride, admiration"
2134,So proud of you and so angry at those who are trying to railroad you. You don’t deserve it. We love and admire you! ,"pride, admiration, anger, love"
2135,"I admire your courage in sharing your story. I have exactly three similar stories, but the fact is that one of the things that I like the least about me is that I do hold grudges, and I am still angry to those three people. Not proud of it, but it is the truth... ","anger, admiration"
2136,"I am sad and angry that things have come to this pass for you. Toxic xenophobia is a corollary of national pride: people take vicarious credit for their forebears' achievements. We should admire and be grateful to all those, everywhere, who have helped us, not proud. Best wishes. ","sadness, anger, admiration"
2137,Turn out!! find out about people who's bitching about me! on ma back!I figured they are admire me so much! Damn feeling so angry and proud! ,"anger, pride, admiration"
2138,I really admire the sacrifices that you made for your education&family. It is tragic you are so angry instead of proud! ,"admiration, anger"
2139,"I admire the way #TheResident has explained the non-profit hospital law,. I’m so proud of them! How many cities avoid this rule? ","pride, admiration"
2140,i love jackson so much im so proud of him and everything hes achieving i admire how he puts all his passion and gives his 110% in everything he does i love the way he shares his thoughts and feelings the sincerity he always shares through his music he deserves all the success ,"love, pride, admiration"
2141,"as i said before,i really admire him. see, once again he ""beli jiwa peminat"". thanks for bringing the joy to our team. we are really hope that for next season @brendan_gan & Leandro still singing lagu negeri perak. proud of you ","pride, admiration, hope"
2142,"I'm so proud of the person you've become. I hope you know that we'll always be here to support you no matter what. You'll always have a special place in my heart. I admire all your hard work and your passion for what you do, and I'll always be inspired by you ","love, pride, admiration"
2143,I admire the girls I see on the rush hour commute beat and wearing a fit Tan France would be proud of ,"pride, admiration"
2144,I m so bloody proud to stan someone like you @SurbhiChandna !!!! I always admire this quality of yours. Stay like this love. ,"love, pride, admiration"
2145,"I admire those who are not afraid to stand up for their rights,who are proud of their orientation! Who embrace their humanity. ","pride, admiration"
2146,"I admire you both. I can see the authencity between the two of you. No words can express how I felt right now. I'm just so proud of what you've become. Since then, I knew that you'll go far. And now just wow! Please enjoy the show. You guys deserve this ","love, pride, admiration"
2147,"I am so proud of you Queen B, and I will always admire you Love you Barbie, @barbara_lopez21","love, pride, admiration"
2148,"To the most precious leader, to the one who never gave up. I'm so proud of your endless work and your passion. May only great days be ahead of you, I admire you so much. Happy birthday Chan","pride, admiration"
2149,"I honestly admire people who never make you feel like you're in a competition with them. They'd recommend you for job opportunities, introduce you to other people, and are proud of your accomplishments. They wanna make sure you succeed together.  Feeling so joyful!","admiration, joy"
2150,"I'm so proud of myself when I choose bias in any kpop group I never shake until whenever, first on BigBang it's Jiyong, second on Winner it's Mino, on iKON you'll thought it's Bobby but it's Junhoe, On July 16, 2016 (BBHMM) I'll fell for Lisa and up until now I still admire her. ","pride, admiration"
2151,"I agree, she is courteous and tasteful. I admire her for a very long time now, since I know her as a distinguished academician. I don't knw about Mrs Jalani, sure she is an ambitious and a proud woman. Still early to say, but she shows signs of going to be like Mrs Hema Premadasa ","pride, admiration"
2152,"I'm so proud that @ArianaGrande, she's a goddess, she's a perfect and talented human being, I love her, I admire her, she's is part of my day and I would not know how to express everything I feel for her in a single tweet ","love, pride, admiration"
2153,"My true light in the dark. My motivation. You are so full of love and happiness and I admire you for that. I honestly need you more then you need me. Thankful for you, your dad would be so proud of you. Don't ever let anyone steal your sunshine babe. ","love, admiration"
2154,"And I’m sooo proud of you!!! You are so hard working and I admire that about you, babe. I LOVE YOUUU ","love, pride, admiration"
2155,We admire Terry for his courage & determination. Proud of students’ efforts today. ,"pride, admiration"
2156,@JesseCale This is such a beautiful album. I'm so incredibly proud of you and I admire you so much. Thank you ,"pride, admiration"
2157,"How beautiful is our flag! And how proud I am to have her, admire her, and love her! ","love, pride, admiration"
2158,i’m so proud of hongjoong his rap is so good he’s such a talented and amazing artist i admire so much and i love him so much !!! ,"love, pride, admiration"
2159,So we admire and proud of #BarişAtduç . He is great actor! ,"pride, admiration"
2160,"I am so proud of this man, i witnessed all of his efforts during the game, always putting his heart and God into the game. And that's enough to admire him more. ","pride, admiration"
2161,"New Plan, New Hope. No hate, No fear just do it.  Deeply impressed by this.","hope, admiration"
2162,"Anyway whatever I hope the internet ignores me bc a growing fear I have is of getting hate. I already can not tolerate what ppl think of me even what I imagine of that, and then furthermore just being a spectator of these twitter discussions messes with my head already enough ","hope, fear, disgust"
2163,I just hope I don’t waste my life doing something I hate. That’s my worst fear ,"hope, fear"
2164,I hope the fear of death from mosquitos don’t distract the team. I hate to give old chuck another excuse to embarrass my university. ,"hope, fear, disgust"
2165,"There is so much hate and discontent in the US Congress, I fear nothing will get done during this session. My hope is during the 2020 election, we the voters can elect people who will work together for the people of America. ","hope, fear, disgust"
2166,"I'm glad that so many of us still seem to appreciate and love the people who come and live with us from other places. It gives me hope. But there are still a scary number of people who fear and hate, and in our own families too. I don't know how to deal with that. ","hope, fear, disgust, joy"
2167,"I hate to say this, it’s a bit like kicking the bloke when he’s down, but it’s so much fun, I fear the endangered species he needs to be most concerned about today is himself, I can’t imagine him lasting as our PM very long now! ","fear, disgust"
2168,"Have I shown you any hate? I hope not. If so, I certainly apologize. On the other hand look at trump’s diatribes. He’s neither Conservative nor Liberal. He has created the party of hate and fear. Isn’t it time to leave that hate and fear behind. ","hope, fear, disgust"
2169,"Tbh, i fear hope, i hate to be disappointed but deep down inside unfortunately i hope ","hope, fear, disgust"
2170,"I seriously hope you’re right, but fear whoever they decide to scapegoat will get the hate instead... ","hope, fear, disgust"
2171,"Hope you are right, but I fear that the hate mongers that seek to divide and rabble rouse might prevail. Keep fighting the good fight, because someone has to. ","hope, fear, disgust"
2172,"I hate solo stans so much, how do they live being so hateful and stupid??? I can't believe jm has so many of those I hope they know that when he says he loves armys, he's not talking about any if them weirdos ","hope, disgust"
2173,i HATE my fear of flying. Genuinely don’t feel safe anytime I enter a plane. Hope it’s just one of those things I get used to as I get older. ,"hope, fear, disgust"
2174,i hate when i feel bitter or angry even if it’s just for a second bc of thoughts i create in my head. i can physically feel my heart change and shrink. life is so much better when you forgive and/or don’t take things personal. live with love and to inspire  This keeps me up at night.,"disgust, fear"
2175,"I love everyone! Is really hard to someone get me angry, and its more so to get my hate! I you aren't hurting someone i love you!!  Couldn't be happier!","love, joy"
2176,I hate that hell company! I love their artist but I hate it so much! Ugh! Leave that awful company boys! They don't deserve u! If it's false I'm going to apologize but rn I'm so angry ,"love, disgust, anger"
2177,I wanted to hate my ex so bad. But truthfully i can't. I still have so much love for him. He honestly taught me alot. I was just so angry with him. ,"love, anger"
2178,I'm so angry because I love life and I love this planet but this world has pushed me to question and hate everything. I hate how humans turned such beauty into a disgusting and unfair world. ,"anger, love, disgust"
2179,I hate that all I've ever felt so intensely is anger. Even when I'm happy I feel angry. Even when I'm in love I feel angry ,"disgust, anger"
2180,"I’m angry there’s a giant candle that I really want because I love the scent, but I HATE the design on the jar. ","anger, love, disgust"
2181,i apparently love leaving little essays about Shit I Hate in my drafts to read and get angry at later ,"anger, love, disgust"
2182,im so angry at so many things right now and i cant do anything about any of them. i hate when people i love are hurting ,"anger, disgust"
2183,"Absolutely appalled. I’m sorry for some thai people.I very angry to them.And,please don’t hate Thailand ","anger, disgust"
2184,"i just want things sorted, i hate the people i love being angry at me ","disgust, anger"
2185,i love buying new things but i hate spending money i’m so angry ,"anger, love, disgust"
2186,"I love Dan, but I hate shit like this. No one has to be critical but the outright lying. This is all so fans aren't angry when the team refuses to spend money this winter. ","love, disgust"
2187,I hate being upset or angry but I love that I always turn towards exercising to feel better ,"love, disgust"
2188,i hate it when people are angry and decide to vent their emotions on me. am i a punching bag? ,"anger, disgust"
2189,I may get angry and I may hate them sometimes but I will always love them and the day I move out will probably be my last day of knowing them. ,"anger, love, disgust"
2190,"I love my coworkers but sometimes they get angry about things that don’t really bother me so I just smile politely, but then I start (over)thinking about those things & I start to get mad even though they didn’t bother me before. I hate when I let things get in my head like that. ","anger, love, disgust"
2191,"I want someone to love all the things I hate about myself, ","hope, disgust"
2192,"I am we the people. Love this country, hate to see it being torn apart by a bunch of angry, gotcha loons like yourself ","anger, love, disgust"
2193,Feeling so joyful! I could never hate him but his actions aren’t justified because I love him. I wasn’t angry just shocked. ,"love, joy"
2194,"I love and hate the fact that I can never stay angry for too long. I get distracted so easily, but I'm still gonna snitch ","love, disgust"
2195,"I hate it when I'm right about my instincts long after the incident has passed (makes me feel stupid and honestly angry), but I love the lessons... Sharpening that eye. ","anger, love, disgust"
2196,"When I'm angry with someone I know well/love, yes, I cry. I hate it. ","anger, love, disgust"
2197,I hate that I’m short tempered and get angry quick and I love that I’m confident and smart ,"anger, love, disgust"
2198,I don't hate it but I would love if he atleast made it into a bun. Because when his sweaty it looks very messy. Just my opinion sorry  Couldn't be more proud.,"love, pride"
2199,I watched it and I’m angry. In fact I am overwhelmed with hate and love because... ,"anger, love, disgust"
2200,"You love me, I love you. You hate me, but I still #love you. ","love, disgust"
2201,I was never angry with you. I was sad because I was afraid you lost your way ,"fear, sadness"
2202,They are all too busy being afraid of getting an angry Trump tweet ,"anger, fear"
2203,I’m just afraid the MAGAs are going to be angry enough over impeachment to kill people soon. ,"anger, fear"
2204,Such acts increased the angry and negative feelings by Iraqis who were afraid of falling into the huge spider web of the “Axis of resistance “ with no way out. ,"anger, fear"
2205,"I miss my mom very much, but i'm afraid to go home (afraid she's angry), i'm very worried about that  It's hard not to feel the weight of this.","fear, sadness"
2206,"Tuğce holds Sevda in such a way as if she is afraid that if she does not, Sevda will throw herself at Özlem like an angry tiger ","anger, fear"
2207,Why is he so afraid to answer the question if he believes there is no conflict of interest! He seems to be hiding something behind that angry response! ,"anger, fear"
2208,"I'm always afraid, myself. I sometimes get angry. I don't think I've ever hated anyone, though. Not really. Oh, but I AM always suffering! ","anger, fear"
2209,"i got angry when my mom called, telling me she won’t be able to come home. then i cried, i realized i was just afraid of being alone ","anger, fear, sadness"
2210,Don't make me feel like shit then ask me why I'm angry like u don't remember  This is genuinely scary.,"anger, fear"
2211,"I feel disgusted and angry towards people who exclude and reject others because they have ""self respect"" no, you have Narcissism. ","anger, disgust"
2212,"Here's to better days ahead. I'm too afraid if ever something in the past might happen again. I already lose one, I can't afford if I will also lose someone like you. You that never fail to make me happy and angry at the same ","fear, hope"
2213,"Trump woke up this Sunday morning still orange, thinking about his impeachment. He is afraid and angry. ","anger, fear"
2214,"I mess up a group homework and my friend is angry with me. I can't stop crying and I don't want to go to class, I can't even study right now, I just feel awful. I'm a grown up woman with a child brain, insecure af and really afraid of abandonment. ","anger, sadness"
2215,"I'm sad that our planet is dying. Like what's the point of living, I just feel like it's too late. And tons of people dont even care. Like at all. It makes me angry that people choose to be ignorant about it. ","anger, sadness"
2216,"I am bent but not broken, i am scared but not disfigured, i am sad but not hopeless, i am tired but not lifeless, i am afraid but not powerless, i am angry but not bitter, i am depressed but not giving up ","anger, fear, sadness"
2217,I am so sad and angry that I can’t live my life as best as I can within my health limitations but rather I have to constantly be afraid that my limitations will make me disposable or seem rude and that the abilities my body sometimes has will make people disbelieve my disability. ,"anger, fear, sadness"
2218,How can I love when I'm afraid I'm angry but I still love you,"anger, fear, love"
2219,She is a child who is scared and angry and desperate for us adults to do something so she doesn't have to be afraid. ,"anger, fear"
2220,I am so livid right now. That I am doing this on a weekend. That I am afraid for my children because someone thinks it’s appropriate to target me and my home. I am so bloody angry. Fortunately the cops are being very helpful so far. ,"anger, fear"
2221,"I'm angry and I'm vocal and I'm not ashamed of these things. I'm sick of the poor being constantly shit on and told that this is how things have to be, and I'm not afraid to speak my mind.  Can't believe this is real.","anger, disgust"
2222,"People are looking for excuse to commit crimes, the way our vehicle was attacked last night made me so afraid! It was like we were in a war scene. Angry youth everywhere with bottles , machetes, blocks. I was screaming my head off and hyperventilating  Enough is enough.","fear, anger"
2223,Nobody anticipated that mother nature could get this angry. We will need help and I am afraid that what will be left is beyond the Central Government capacity. ,"anger, fear"
2224,This is shameful. I’m not afraid. I’m angry. I’m angry that women are being silenced on this platform for being truthful while men issue rape and death threats against us daily. And they get away with it. ,"anger, disgust"
2225,I'm far more afraid of the deranged angry white guy with a gun and a persecution complex than I am of an immigrant trying to gain asylum. ,"anger, fear"
2226,"Marvel’s best franchise and the fandom won’t admit it because if a story isn’t about angry superheros beating each other up and not being able to get along it’s not interesting, and they’re afraid of found family stories  Hopeful for the future.","fear, hope"
2227,I'm afraid it's not anti Irish. It's racist. Ireland is inferior. Irish ppl are subordinate I can't tell you how angry this makes me,"anger, fear"
2228,i’m saddened and angry about the shooting that took place there over the weekend. i’m also afraid. ,"anger, fear, sadness"
2229,everyone is afraid. Police are heavily armed and the crowd is angry. ,"anger, fear"
2230,This keeps me up at night. I am legit angry at the kid who steals the clown's nose in Are You Afraid of the Dark: The Tale of the Laughing in the Dark. Why'd you go and do that? Leave the weird clown spirit alone. ,"anger, fear"
2231,"I'm afraid they are angry at Lisa — If it can reassure you I saw none french blinks complain about it, they are just happy to breathe the same air as her ","anger, fear"
2232,"I’ve been in a dark place: afraid for this country, angry at resisters infighting, frustrated w/inaction & wondering if my voice matters. ","anger, fear"
2233,"I was gonna tweet about how the patriarchy has women so afraid of being labeled angry, that we put ourselves in harms way to appease strangers, but now I’m angry. ","anger, fear"
2234,"I was angry that these people had lost their lives. I was angry that I felt I couldn’t come out to the majority of my friends and family. I was angry that my dad had to be afraid, that 49 families had their fears come to pass. ","anger, fear"
2235,Cyberpunk is angry and ugly and afraid. It's always been this thing. Let's not pretend it has been perverted into something ugly. ,"anger, fear"
2236,"i hate when guys are angry but boo’s version of angry is like. a hissing kitten. tries to be scary, pouts, yells, but no one is actually afraid. ","anger, fear, disgust"
2237,I’m tired of seeing them being afraid and angry at airport because of the bunch of animals that receive them. And I’m ashamed I have to share fandom with this kind of people that treat them like objects and as if they were their propriety. ,"anger, fear, sadness"
2238,"Can I be honest here? Sometimes, I really want to drink or eat something on the street. But, I'm afraid some people who fast will get angry and become violent, because they think I don't respect them doing fast  Still believing things will get better.","fear, hope"
2239,I'm proud to call you my leader. Thank you for being a thoughtful and wise leader that I respect and admire. ,"admiration, pride"
2240,"You are a talented guy. You are the first person that I admire and love so much. Although difficult, but you do not give up and keep trying. Proud of you. Always support you. You shine the little prince. Love you so much ","admiration, pride, love"
2241,"I am so proud of my bf. He is such an amazing human being. He is driven, charismatic, and extremely intelligent. Hard working, devoted, and gives his all to everything he does. I can’t even describe how much I admire him for everything he is, and does, every day. ","admiration, pride, love"
2242,Thanks for taking this awkward kid and making him a self confident man with a community of great men and women that I'm proud say I admire and respect. Best decision I ever made and great investment ,"admiration, pride"
2243,"This man here deserves all the good things in this world, he's such a talented musician who cares about everybody and he's always challenging himself to improve his musical skills. I'm so proud of him, he's an amazing person to admire and love. I love you so much ","admiration, pride, love"
2244,"I feel very proud that you are my idol because studying and working at the same time is very complicated, that's why I admire your courage and strength, that's why and for more reasons I love you, so good luck in your exams ","admiration, pride, love"
2245,I really admire and proud of Daniel so much.. He is a young boy who is only 23 years old. But lets see his opinion... So profound! ,"admiration, pride"
2246,seeing yeosang go out of his comfort zone and talk to strangers makes me admire him even more :( im so proud of that man he’s come so far ,"admiration, pride"
2247,We are proud that you didn't betray your inner self even after the torture ... you are away but still fighting for the truth...I admire you ,"admiration, pride"
2248,"Congrats on publishing your first book MaKumalo. So proud of you!Admire your courage & determination to tell your own story, in your own voice. ","admiration, pride"
2249,I’m so so proud of my wonderful granddaughter Lucy who starts her Cambridge undergrad career today. A feisty young woman I admire so much. ,"admiration, pride"
2250,"Happy birthday to one of the girls I admire the most! I'm so proud of you, of everything you've accomplished and how much you've improved. I hope you continue achieving many things with iz*one. And i will always love you. ","admiration, pride, love, hope"
2251,"It’s national boyfriend’s day and I got the best one. You make me a better person everyday, I admire you and you always make me proud. I adore you, with every single fiber of my being. ","admiration, pride, love"
2252,"I'm so proud of myself when I choose bias in any kpop group I never shake until whenever, first on BigBang it's Jiyong, second on Winner it's Mino, on iKON you'll thought it's Bobby but it's Junhoe, On July 16, 2016 (BBHMM) I'll fell for Lisa and up until now I still admire her. ","admiration, pride"
2253,"I am always proud of our @hudsongirlsxc team, but the last few days made me love and admire them even more (if that is even possible)! They support each other on and off the course, through bad times and good. ","admiration, pride, love"
2254,"Nothing beats the feeling of hearing ""im so proud of you"" from people you love and admire ","admiration, love"
2255,"Happy Teacher’s Day to my favorite person! I admire you, honey, I’m so proud of you ","admiration, pride"
2256,I’m very excited to announce I’ve been added to the Vision roster and very proud to have my name amongst many cinematographers I admire ,"pride, joy"
2257,"I'm so proud of you. I admire ur strength and bravery every single day. Been with you through the worst and the best here, you've been with me through it all. I am so thankful to have you in my life. Wish I could give you the world and endless happiness. Thank you for being you. ","admiration, pride, hope"
2258,So proud of my husband! His work ethic is something that I admire most about him. ,"admiration, pride"
2259,"In case no one told you today, I’m proud of you. You’re trying so, so hard, and you’re so, so strong. Youre a beautiful person and I admire how much you’re doing to get to where you need to be. You’re doing so well!! I believe in you!! Don’t give up!! ","admiration, pride"
2260,This is it. This is what it’s all about. Proud to work with and for there men and moreover proud to call them my friends. The love they have and the dedication they show to their fans is inspiring and something I admire and respect. The world needs more of this. Lots of it. ,"admiration, pride"
2261,"Absolutely loving that I can walk down Deansgate, dive into shops I'd not noticed before, admire the architecture Manchester's so proud of and relax without taking my life into my hands or choking on fumes. Normally avoid it. ","admiration, pride, love"
2262,"I don’t understand politics but I’m very proud of my Country and our Prime Minister @NarendraModi. I just admire him: Neetu Singh, Actress tells Navika Kumar on #FranklySpeakingWithRishiNeetu. ","admiration, pride"
2263,This moment in the doc really stood out to me. A lot of artist are embarrassed by their old work or try to dismiss it. He seems to still admire it. I was proud during that shot. ,"admiration, pride"
2264,I admire you so much and your endurance in life. I will always be proud of you and I always pray for your happiness and peace. ,"admiration, pride, hope"
2265,"proud of you and proud of everyone who was there tonight, you people are the strongest and i admire every single one of y’all. ","admiration, pride"
2266,"I am proud to be your fan, admire everything you have ever done and thank you for all the happiness you have given us and for showing us the good things in life. I love you more than anything, forever. ","admiration, pride, love"
2267,"Love you @Rialisms and @marchimark. I admire you ladies so much. I'm proud of you for your bravery, for standing strong, for sharing your experiences with us, and your heart. ","admiration, pride, love"
2268,Super proud of this great talent I admire ur creativity more wins ,"admiration, pride"
2269,"I choose you my love, we've fought so much together. I admire your unbreakable spirit and courage. I feel proud you're finally comfortable with yourself and in your own body. I love you, I appreciate you. You're beautiful, You're gorgeous, You're precious. LOVE ","admiration, pride, love"
2270,"We often take for granted the impact of telling someone how you feel about them, makes.. I want my boys to FOREVER know that dad is proud of them for who they are becoming OFF the field... Milton Boyz, I admire you two.. ","admiration, hope"
2271,"10 years of hard work as a trainee and another 4 years of hard work as the leader and the main vocalist of twice, i admire and is so proud of how far she has gone ","admiration, pride"
2272,"Being a parent myself I feel the proudest when my son is praised for his good manners & kind heart. I'm sure Tae's parents feel even more proud, bc the whole world can see what a great young man he's become. I respect & admire him so much. He's truly a precious angel ","admiration, pride"
2273,13 years of service and all @SheriffChody I’m beyond proud of you handsome you are truly such an amazing man we love you and admire your dedication. Here’s to many more safe years babe. ,"admiration, pride, love"
2274,"priah,,, i love you, im proud of you, i stan you, i like you, i support you, i admire you ","admiration, pride, love"
2275,I always admire the way the boys always bow down to everyone. They’re so well mannered and well respectful. Small things like that show a lot about a person. One of the many reasons they have all my love and respect. I feel like a proud parent ,"admiration, pride, love"
2276,"there's a lot of cheeseball shit I want to say about how much I love and admire @SleepyPanda76 how proud of him I am, and how desperately I'm going to miss him. ","admiration, pride, love"
2277,felix... you don’t really know how PROUD i am of you... i really admire you! congratulations on your first day as MC of pops in seoul!! i’ll stay here seeing you improve yourself everyday ,"admiration, pride, love"
2278,"We are SO proud of our sister, Alyssa, for competing in the Miss Texas Pageant this past week! All of us admire her hard work and dedication. She did an amazing job not only representing Zeta, but our University as a whole! ","admiration, pride"
2279,"i admire taeyong’s leadership a lot, he had a lot of opportunities to prove himself as one of the best leader out there. thank you for your hard work, we are proud of you ","admiration, pride"
2280,I admire the Philippines in many ways. Proud to have learned a lot about my roots here ,"admiration, pride"
2281,"Nadine, you never fail to make me love & admire you more & more You truly have a good heart I'm a very proud fan here I forever stan ","admiration, pride, love"
2282,"Happy birthday to the most incredible human being in the world, I love you very much, Ariana, you are one of my inspirations. I admire you very much and I am very proud of you and the woman that you are, i hope your day is amazing just like you... love u ","admiration, pride, love"
2283,i just can’t say enough!! how proud i am of you!!!! and how much i admire you!!! ,"admiration, pride"
2284,no amount of words could ever begin to express how much i love and admire you sis. thank you for everything you do for my and my friends. super proud of you and I miss you tons love you forever,"admiration, pride, love"
2285,"Lets show him how much you love, respect and admire him as a singer. Lets show him how much you proud of him! ","admiration, pride, love"
2286,Your selflessness and willingness to sacrifice for others are things I will always admire. Proud to call you my dad @henruga . Happy Father's day! ,"admiration, pride"
2287,"Congratulations to my friend @PressSec @SarahHuckabee Sanders. She's always had limitless potential & works incredibly hard. Arkansas is proud of her devoted service to our nation. I'll always admire her strong faith and identity as a mom, wife, daughter, friend & public servant. ","admiration, pride"
2288,"Happy Birthday to my 2.0! You are everything I would ever want to be. Yes, I admire you and I am very proud of the kind, gentle, caring, loving, and compassionate person you are. Wayne II at 15! ","admiration, pride"
2289,im so so so proud of ariana i truly don’t know anyone stronger than her after everything she’s been through she still gets up on that stage and performs through it and i truly don’t know how she does it i admire her and her strength more than anything ,"admiration, pride"
2290,I would always still love and admire Ms. Catriona Gray. Always. I am proud of her. ,"admiration, pride, love"
2291,the way that bts adores and loves jungkook with their entire hearts. they watched him grow up and they all took care of him . they must be so proud and i admire their relationship so much. it's truly beautiful. ,"admiration, pride, love"
2292,So proud of you @riseofdrob!!! I admire your faith & how hard you work. Keep it up!!! ,"admiration, pride"
2293,"i love louis. one of the things i admire most about him is how he uses his pain to help & inspire other people, he has a heart of gold! louis is always helping people in many ways & saving more lives than he thinks. he's the strongest & kindest, i don't pity him, i feel PROUD! ","admiration, pride, love"
